time_epoch,time,temp_c,temp_f,is_day,wind_mph,wind_kph,wind_degree,wind_dir,pressure_mb,pressure_in,precip_mm,precip_in,snow_cm,humidity,cloud,feelslike_c,feelslike_f,windchill_c,windchill_f,heatindex_c,heatindex_f,dewpoint_c,dewpoint_f,will_it_rain,chance_of_rain,will_it_snow,chance_of_snow,vis_km,vis_miles,gust_mph,gust_kph,uv,short_rad,diff_rad,condition.text,condition.icon,condition.code
1731736800,11/16/24 0:00,14.4,57.9,0,8.3,13.3,162,SSE,1015,29.98,0,0,0,55,0,13.9,57,13.9,57,14.4,57.9,5.2,41.4,0,0,0,0,10,6,13.8,22.2,0,0,0,Clear ,//cdn.weatherapi.com/weather/64x64/night/113.png,1000
1731740400,11/16/24 1:00,13.5,56.4,0,8.1,13,164,SSE,1015,29.98,0,0,0,61,0,12.8,55.1,12.8,55.1,13.5,56.4,6.1,43,0,0,0,0,10,6,13.4,21.5,0,0,0,Clear ,//cdn.weatherapi.com/weather/64x64/night/113.png,1000
1731744000,11/16/24 2:00,12.9,55.3,0,7.8,12.6,158,SSE,1015,29.97,0,0,0,69,2,12.1,53.8,12.1,53.8,12.9,55.3,7.1,44.8,0,0,0,0,10,6,13,20.8,0,0,0,Clear ,//cdn.weatherapi.com/weather/64x64/night/113.png,1000
1731747600,11/16/24 3:00,13.2,55.7,0,7.4,11.9,155,SSE,1015,29.98,0,0,0,75,36,12.4,54.3,12.4,54.3,13.2,55.7,8.1,46.5,0,0,0,0,10,6,12.3,19.7,0,0,0,Partly Cloudy ,//cdn.weatherapi.com/weather/64x64/night/116.png,1003
1731751200,11/16/24 4:00,13.5,56.4,0,7.6,12.2,154,SSE,1015,29.97,0,0,0,77,72,12.8,55,12.8,55,13.5,56.4,9.5,49,0,0,0,0,10,6,12.8,20.6,0,0,0,Cloudy ,//cdn.weatherapi.com/weather/64x64/night/119.png,1006
1731754800,11/16/24 5:00,13.8,56.8,0,6.9,11.2,151,SSE,1015,29.96,0,0,0,79,81,13.1,55.6,13.1,55.6,13.8,56.8,10.3,50.6,0,0,0,0,10,6,11.6,18.7,0,0,0,Cloudy ,//cdn.weatherapi.com/weather/64x64/night/119.png,1006
1731758400,11/16/24 6:00,13.9,57.1,0,5.8,9.4,146,SSE,1014,29.95,0,0,0,82,96,13.4,56,13.4,56,13.9,57.1,10.9,51.6,0,0,0,0,10,6,10.2,16.3,0,0,0,Overcast ,//cdn.weatherapi.com/weather/64x64/night/122.png,1009
1731762000,11/16/24 7:00,14.2,57.6,1,4,6.5,147,SSE,1015,29.96,0,0,0,84,93,13.8,56.9,13.8,56.9,14.2,57.6,11.5,52.6,0,0,0,0,10,6,7.4,11.9,0,0,0,Overcast ,//cdn.weatherapi.com/weather/64x64/day/122.png,1009
1731765600,11/16/24 8:00,14.7,58.4,1,4.5,7.2,138,SE,1015,29.97,0,0,0,82,66,14.5,58,14.5,58,14.7,58.4,11.6,52.8,0,0,0,0,10,6,8.5,13.7,0.2,0,0,Cloudy ,//cdn.weatherapi.com/weather/64x64/day/119.png,1006
1731769200,11/16/24 9:00,15.4,59.7,1,4.7,7.6,149,SSE,1015,29.97,0,0,0,82,75,15.3,59.5,15.3,59.5,15.4,59.7,12,53.6,0,0,0,0,10,6,7.5,12.1,1,28.96,11.6,Cloudy ,//cdn.weatherapi.com/weather/64x64/day/119.png,1006
1731772800,11/16/24 10:00,16.4,61.6,1,6.9,11.2,162,SSE,1016,29.99,0,0,0,85,100,16.4,61.5,16.4,61.5,16.4,61.6,13.5,56.4,0,0,0,0,10,6,8.4,13.5,2.4,101,27.84,Overcast ,//cdn.weatherapi.com/weather/64x64/day/122.png,1009
1731776400,11/16/24 11:00,17.3,63.2,1,9.8,15.8,166,SSE,1016,29.99,0,0,0,80,100,17.3,63.1,17.3,63.1,17.3,63.2,14,57.2,0,0,0,0,10,6,11.3,18.2,3.9,182.12,40.76,Overcast ,//cdn.weatherapi.com/weather/64x64/day/122.png,1009
1731780000,11/16/24 12:00,18.7,65.6,1,11.6,18.7,178,S,1015,29.97,0,0,0,77,100,18.6,65.6,18.6,65.6,18.7,65.6,14.1,57.3,0,0,0,0,10,6,13.4,21.5,4.9,256.26,55.97,Overcast ,//cdn.weatherapi.com/weather/64x64/day/122.png,1009
1731783600,11/16/24 13:00,19.8,67.7,1,11.9,19.1,179,S,1014,29.95,0,0,0,67,71,19.8,67.7,19.8,67.7,20.5,68.8,13.6,56.5,0,0,0,0,10,6,13.6,22,4.8,316.04,73.64,Cloudy ,//cdn.weatherapi.com/weather/64x64/day/119.png,1006
1731787200,11/16/24 14:00,20.7,69.2,1,11.6,18.7,179,S,1013,29.92,0,0,0,63,86,20.7,69.2,20.7,69.2,21.9,71.5,13.6,56.4,0,0,0,0,10,6,13.4,21.5,3.9,621.88,181.42,Cloudy ,//cdn.weatherapi.com/weather/64x64/day/119.png,1006
1731790800,11/16/24 15:00,21.3,70.4,1,11.6,18.7,174,S,1013,29.9,0,0,0,61,93,21.3,70.4,21.3,70.4,23.3,73.9,13.6,56.4,0,0,0,0,10,6,13.4,21.5,2.5,618.64,135.29,Cloudy ,//cdn.weatherapi.com/weather/64x64/day/119.png,1006
1731794400,11/16/24 16:00,21.4,70.5,1,11.4,18.4,174,S,1012,29.89,0,0,0,59,100,21.4,70.5,21.4,70.5,23,73.4,13.6,56.4,0,0,0,0,10,6,13.1,21.1,1.1,580.36,118.03,Overcast ,//cdn.weatherapi.com/weather/64x64/day/122.png,1009
1731798000,11/16/24 17:00,21.3,70.4,1,11.2,18,171,S,1012,29.89,0,0,0,62,100,21.3,70.4,21.3,70.4,22.5,72.4,14,57.1,0,0,0,0,10,6,13.4,21.6,0.3,520.68,105.45,Overcast ,//cdn.weatherapi.com/weather/64x64/day/122.png,1009
1731801600,11/16/24 18:00,21.2,70.1,0,9.4,15.1,158,SSE,1012,29.89,0,0,0,64,100,21.2,70.1,21.2,70.1,21.7,71.1,14.2,57.5,0,0,0,0,10,6,14.3,23,0,444.32,95.35,Overcast ,//cdn.weatherapi.com/weather/64x64/night/122.png,1009
1731805200,11/16/24 19:00,21,69.7,0,9.8,15.8,147,SSE,1012,29.89,0,0,0,66,99,21,69.7,21,69.7,21.2,70.2,14.4,57.8,0,0,0,0,10,6,17.5,28.2,0,372.24,80.38,Overcast ,//cdn.weatherapi.com/weather/64x64/night/122.png,1009
1731808800,11/16/24 20:00,20.8,69.4,0,12.3,19.8,150,SSE,1013,29.91,0,0,0,67,94,20.8,69.4,20.8,69.4,20.9,69.7,14.4,58,0,0,0,0,10,6,19.6,31.5,0,0,0,Overcast ,//cdn.weatherapi.com/weather/64x64/night/122.png,1009
1731812400,11/16/24 21:00,20.6,69.2,0,12.8,20.5,160,SSE,1013,29.91,0,0,0,68,91,20.6,69.2,20.6,69.2,20.7,69.3,14.5,58,0,0,0,0,10,6,19.6,31.6,0,0,0,Overcast ,//cdn.weatherapi.com/weather/64x64/night/122.png,1009
1731816000,11/16/24 22:00,20.4,68.8,0,11.4,18.4,162,SSE,1013,29.92,0,0,0,68,88,20.4,68.8,20.4,68.8,20.5,68.8,14.5,58.1,0,0,0,0,10,6,17.4,28,0,0,0,Overcast ,//cdn.weatherapi.com/weather/64x64/night/122.png,1009
1731819600,11/16/24 23:00,20,68,0,8.9,14.4,162,SSE,1012,29.88,0,0,0,71,0,20,68,20,68,20,68.1,14.8,58.7,0,0,0,0,10,6,14.9,23.9,0,0,0,Clear ,//cdn.weatherapi.com/weather/64x64/night/113.png,1000